Date,Sales
2015-01-01,54.96714153011233
2015-02-01,52.17721496171846
2015-03-01,63.577120666878635
2015-04-01,75.8321414170327
2015-05-01,61.7042391122999
2015-06-01,65.07231513335493
2015-07-01,86.48011351263368
2015-08-01,81.5263496805428
2015-09-01,72.19540405384686
2015-10-01,85.21367232689138
2015-11-01,77.89862632133648
2015-12-01,80.45557990580124
2016-01-01,89.93807190650712
2016-02-01,70.60858686563266
2016-03-01,74.52618633021206
2016-04-01,87.99302509403947
2016-05-01,85.132112791242
2016-06-01,99.8507639161834
2016-07-01,88.88054849203883
2016-08-01,84.89809331255016
2016-09-01,114.55090159073774
2016-10-01,98.3298166045223
2016-11-01,101.78462044587623
2016-12-01,87.22260500675635
2017-01-01,96.23797777922475
2017-02-01,102.86716436141835
2017-03-01,90.20333037928422
2017-04-01,105.32073526788128
2017-05-01,95.32001635505176
2017-06-01,98.10213500535416
2017-07-01,94.6432467359523
2017-08-01,118.79196195265598
2017-09-01,99.73007615574818
2017-10-01,88.89031044149436
2017-11-01,107.32118124641264
2017-12-01,86.56073201093297
2018-01-01,100.59510400329964
2018-02-01,78.72904063808431
2018-03-01,84.96243446516624
2018-04-01,100.24706828483532
2018-05-01,105.82808232333359
2018-06-01,100.46676497926437
2018-07-01,98.06345239809103
2018-08-01,96.84387528355319
2018-09-01,85.88207650452883
2018-10-01,94.46618417621367
2018-11-01,98.24623382574117
2018-12-01,114.80634919501254
2019-01-01,109.25025719692904
2019-02-01,89.95906208697487
2019-03-01,112.80020279621397
2019-04-01,107.86910518298731
2019-05-01,107.29621855217597
2019-06-01,122.70511916301366
2019-07-01,129.58939318179787
2019-08-01,131.44042824085724
2019-09-01,116.7283859570756
2019-10-01,125.15217119563837
2019-11-01,134.79627092775982
2019-12-01,144.5777087981599
2020-01-01,133.4511103427166
2020-02-01,139.87072130611102
2020-03-01,134.19354367520359
2020-04-01,136.85035058337343
2020-05-01,160.49970148940335
2020-06-01,169.48587103869136
2020-07-01,158.72002391906253
2020-08-01,172.94067960158108
2020-09-01,169.91695744016403
2020-10-01,163.15680544956126
2020-11-01,176.4245260983512
2020-12-01,191.27269700492576
2021-01-01,178.48024753042296
2021-02-01,197.28209074661078
2021-03-01,158.074339094806
2021-04-01,194.95554420843234
2021-05-01,189.8916010082848
2021-06-01,188.12861047943434
2021-07-01,193.9416878292699
2021-08-01,174.85841905910362
2021-09-01,194.0507604554425
2021-10-01,201.13596405467038
2021-11-01,213.46769818067844
2021-12-01,194.44101016600504
2022-01-01,192.29109930730877
2022-02-01,195.9362854451947
2022-03-01,210.52104043647353
2022-04-01,204.9145011150564
2022-05-01,196.44913719344856
2022-06-01,206.87329126764072
2022-07-01,202.5949865121166
2022-08-01,211.1006438174937
2022-09-01,194.1076277036526
2022-10-01,197.50782434620984
2022-11-01,196.48088170526665
2022-12-01,185.36485051867882
